City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khromtau,KZ,50.2503,58.4347,24.19,36,15,3.81,few clouds
1,Upernavik,GL,72.7868,-56.1549,8.32,67,14,0.84,few clouds
2,Longyearbyen,SJ,78.2186,15.6401,7.91,76,75,8.75,light rain
3,Bredasdorp,ZA,-34.5322,20.0403,14.04,97,20,1.9,few clouds
4,Saint-Philippe,RE,-21.3585,55.7679,19.77,68,15,0.86,few clouds
5,Berea,US,41.3662,-81.8543,25.66,50,1,0.89,clear sky
6,Mataura,NZ,-46.1927,168.8643,6.38,97,100,1.08,overcast clouds
7,Mount Gambier,AU,-37.8333,140.7667,6.42,92,84,3.33,broken clouds
8,Ushuaia,AR,-54.8,-68.3,5.81,61,75,1.54,moderate rain
9,Luwuk,ID,-0.9516,122.7875,24.35,79,60,2.23,broken clouds
10,Hithadhoo,MV,-0.6,73.0833,27.59,71,100,2.85,overcast clouds
11,Goderich,CA,43.7501,-81.7165,23.35,67,7,2.64,clear sky
12,Pisco,PE,-13.7,-76.2167,18.34,77,0,4.63,clear sky
13,Lebu,CL,-37.6167,-73.65,12.13,74,29,8.89,scattered clouds
14,Coquimbo,CL,-29.9533,-71.3436,14.85,72,0,4.12,clear sky
15,Katsuura,JP,35.1333,140.3,27.33,87,38,4.44,scattered clouds
16,New Norfolk,AU,-42.7826,147.0587,6.06,81,100,1.1,overcast clouds
17,Isangel,VU,-19.55,169.2667,21.79,59,4,4.39,clear sky
18,Prince Rupert,CA,54.3161,-130.3201,18.47,64,8,2.64,clear sky
19,Tiksi,RU,71.6872,128.8694,9.78,65,94,1.89,overcast clouds
20,Albany,US,42.6001,-73.9662,25.88,49,16,5.21,few clouds
21,Butaritari,KI,3.0707,172.7902,28.2,71,29,2.4,light rain
22,Selty,RU,57.3132,52.1345,17.97,92,97,1.52,overcast clouds
23,Provideniya,RU,64.3833,-173.3,11.06,82,90,6.0,moderate rain
24,Quelimane,MZ,-17.8786,36.8883,16.8,77,0,1.73,clear sky
25,Carnarvon,AU,-24.8667,113.6333,8.04,46,0,5.14,clear sky
26,Boa Vista,BR,2.8197,-60.6733,27.99,69,75,1.03,light rain
27,Cabo San Lucas,MX,22.8909,-109.9124,38.23,49,75,7.72,broken clouds
28,Pacific Grove,US,36.6177,-121.9166,33.12,70,1,3.13,clear sky
29,Pevek,RU,69.7008,170.3133,1.16,83,100,9.82,overcast clouds
30,Bandarbeyla,SO,9.4942,50.8122,25.17,81,5,14.09,clear sky
31,Fukue,JP,32.6881,128.8419,27.14,80,38,6.35,scattered clouds
32,Marienburg,PL,54.0359,19.0266,17.71,71,7,4.1,clear sky
33,Dikson,RU,73.5069,80.5464,10.22,78,94,4.84,overcast clouds
34,Atuona,PF,-9.8,-139.0333,25.32,76,28,8.13,scattered clouds
35,Saskylakh,RU,71.9167,114.0833,16.88,71,23,2.49,few clouds
36,Hami,CN,42.8,93.45,25.47,21,1,2.86,clear sky
37,Bluff,NZ,-46.6,168.3333,6.56,69,100,4.54,overcast clouds
38,Hualmay,PE,-11.0964,-77.6139,19.78,72,8,4.59,clear sky
39,Iqaluit,CA,63.7506,-68.5145,10.39,87,100,1.79,overcast clouds
40,Tailai,CN,46.3833,123.4,17.57,98,100,5.53,moderate rain
41,Port Blair,IN,11.6667,92.75,27.55,83,99,9.41,overcast clouds
42,Angoche,MZ,-16.2325,39.9086,21.3,67,0,4.58,clear sky
43,Andrushivka,UA,50.0229,29.0202,15.67,83,2,3.02,clear sky
44,Nanortalik,GL,60.1432,-45.2371,7.75,88,95,0.87,light rain
45,Tilichiki,RU,60.4667,166.1,9.89,50,81,10.03,broken clouds
46,Ponta Do Sol,PT,32.6667,-17.1,23.34,74,10,3.31,clear sky
47,Montepuez,MZ,-13.1256,38.9997,19.26,74,79,3.48,broken clouds
48,Port Arthur,CN,38.8,121.2667,23.12,88,10,3.59,clear sky
49,Busselton,AU,-33.65,115.3333,12.28,76,100,3.27,overcast clouds
50,Sabang,ID,5.8933,95.3214,27.99,75,99,9.39,overcast clouds
51,Victoria,HK,22.2855,114.1577,29.62,88,100,1.79,moderate rain
52,Rikitea,PF,-23.1203,-134.9692,20.58,57,77,8.98,broken clouds
53,Tuktoyaktuk,CA,69.4541,-133.0374,6.94,92,100,6.16,light rain
54,Puerto Ayora,EC,-0.7393,-90.3518,22.75,82,72,5.34,broken clouds
55,Chuy,UY,-33.6971,-53.4616,10.76,93,25,2.71,scattered clouds
56,Marrakesh,MA,31.6315,-8.0083,26.04,50,0,5.14,clear sky
57,Khutar,IN,28.2,80.2833,26.07,91,22,4.12,few clouds
58,Flinders,AU,-34.5833,150.8552,14.1,88,86,0.45,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,7.41,57,51,3.49,broken clouds
60,Castro,BR,-24.7911,-50.0119,11.84,81,0,1.25,clear sky
61,Tuatapere,NZ,-46.1333,167.6833,6.57,84,99,1.94,overcast clouds
62,Mahebourg,MU,-20.4081,57.7,17.92,68,1,0.85,clear sky
63,Hobart,AU,-42.8794,147.3294,6.26,88,75,0.0,broken clouds
