City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Khromtau,KZ,24.19,few clouds,50.2503,58.4347,Придорожный сервис Кең Дала
4,Saint-Philippe,RE,19.77,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Berea,US,25.66,clear sky,41.3662,-81.8543,Comfort Inn Cleveland Airport
9,Luwuk,ID,24.35,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
10,Hithadhoo,MV,27.59,overcast clouds,-0.6,73.0833,Scoop Guest House
11,Goderich,CA,23.35,clear sky,43.7501,-81.7165,Harmony Inn
12,Pisco,PE,18.34,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
15,Katsuura,JP,27.33,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
17,Isangel,VU,21.79,clear sky,-19.55,169.2667,Tanna Lodge
18,Prince Rupert,CA,18.47,clear sky,54.3161,-130.3201,Crest Hotel
21,Butaritari,KI,28.2,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Selty,RU,17.97,overcast clouds,57.3132,52.1345,Gostinitsa
24,Quelimane,MZ,16.8,clear sky,-17.8786,36.8883,Hotel Flamingo
26,Boa Vista,BR,27.99,light rain,2.8197,-60.6733,Aipana Plaza Hotel
30,Bandarbeyla,SO,25.17,clear sky,9.4942,50.8122,JABIR HOTEL
31,Fukue,JP,27.14,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
32,Marienburg,PL,17.71,clear sky,54.0359,19.0266,Hotel Centrum Malbork
34,Atuona,PF,25.32,scattered clouds,-9.8,-139.0333,Villa Enata
36,Hami,CN,25.47,clear sky,42.8,93.45,Laoyutang Resort
38,Hualmay,PE,19.78,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
40,Tailai,CN,17.57,moderate rain,46.3833,123.4,Pearl Garden Hotel
41,Port Blair,IN,27.55,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
42,Angoche,MZ,21.3,clear sky,-16.2325,39.9086,Guest House HESADA
43,Andrushivka,UA,15.67,clear sky,50.0229,29.0202,Клопарня
46,Ponta Do Sol,PT,23.34,clear sky,32.6667,-17.1,Hotel do Campo
47,Montepuez,MZ,19.26,broken clouds,-13.1256,38.9997,PembaAparthotel
48,Port Arthur,CN,23.12,clear sky,38.8,121.2667,Friendship Hotel
50,Sabang,ID,27.99,overcast clouds,5.8933,95.3214,Hotel Citra
51,Victoria,HK,29.62,moderate rain,22.2855,114.1577,Mini Hotel Central
52,Rikitea,PF,20.58,broken clouds,-23.1203,-134.9692,People ThankYou
54,Puerto Ayora,EC,22.75,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Marrakesh,MA,26.04,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
57,Khutar,IN,26.07,few clouds,28.2,80.2833,Nitesh Shukla ji LVWPL
62,Mahebourg,MU,17.92,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Naze,JP,25.5,broken clouds,28.3667,129.4833,Amami Port Tower Hotel
66,Jamestown,US,22.79,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
68,Kapaa,US,29.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Soyo,AO,22.64,scattered clouds,-6.1349,12.3689,Hotel Mpampa
70,East London,ZA,15.42,broken clouds,-33.0153,27.9116,Tu Casa
72,Komsomolskiy,UZ,23.68,overcast clouds,40.4272,71.7189,Ikathouse
78,Georgetown,MY,27.72,light rain,5.4112,100.3354,Cititel Penang
79,Alofi,NU,24.94,scattered clouds,-19.0595,-169.9187,Taloa Heights
80,Port Hardy,CA,16.7,clear sky,50.6996,-127.4199,Airport Inn
81,Entre Rios,BR,19.24,clear sky,-11.9419,-38.0844,Jambalaya Pousada
83,Padang,ID,24.77,light rain,-0.9492,100.3543,Mercure Padang
86,Naifaru,MV,28.0,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
91,Idlib,SY,26.66,clear sky,35.9306,36.6339,مركز تسيل للتجميل
93,Cairns,AU,19.97,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
94,Vaini,TO,23.09,scattered clouds,-21.2,-175.2,Keleti Beach Resort
97,Kavaratti,IN,27.86,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
98,Yellowknife,CA,29.84,clear sky,62.456,-114.3525,The Explorer Hotel
99,Aracatuba,BR,23.51,clear sky,-21.2089,-50.4328,Hotel Nacional Inn Araçatuba
102,Baturaja,ID,22.41,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
